continente,pais,UF,via_de_acesso,ano,mes,data,total_chegadas
Europa,Bélgica,Acre (AC) - Brasil,Fluvial,2018,6,01/06/2018,1
Europa,Bélgica,Acre (AC) - Brasil,Fluvial,2018,7,01/07/2018,1
Europa,Bélgica,Acre (AC) - Brasil,Fluvial,2018,11,01/11/2018,1
América do Sul,Bolívia,Acre (AC) - Brasil,Fluvial,2018,6,01/06/2018,1
América do Sul,Bolívia,Acre (AC) - Brasil,Fluvial,2018,7,01/07/2018,1
América do Sul,Peru,Acre (AC) - Brasil,Fluvial,2018,5,01/05/2018,1
América do Sul,Peru,Acre (AC) - Brasil,Fluvial,2018,6,01/06/2018,16
América do Sul,Peru,Acre (AC) - Brasil,Fluvial,2018,7,01/07/2018,11
América do Sul,Peru,Acre (AC) - Brasil,Fluvial,2018,8,01/08/2018,14
América do Sul,Peru,Acre (AC) - Brasil,Fluvial,2018,9,01/09/2018,3
América do Sul,Peru,Acre (AC) - Brasil,Fluvial,2018,10,01/10/2018,17
América do Sul,Peru,Acre (AC) - Brasil,Fluvial,2018,12,01/12/2018,9
África,África do Sul,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,1
África,África do Sul,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,3
África,África do Sul,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,1
África,África do Sul,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,2
África,África do Sul,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,1
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,15
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,10
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,5
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,6
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,4
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,10
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,11
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,10
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,15
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,5
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,35
Europa,Alemanha,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,3
África,Angola,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,2
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,34
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,22
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,13
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,11
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,21
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,29
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,26
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,26
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,24
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,35
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,14
América do Sul,Argentina,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,11
Oceania,Austrália,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,1
Oceania,Austrália,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,2
Oceania,Austrália,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,1
Oceania,Austrália,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,3
Oceania,Austrália,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,5
Oceania,Austrália,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,1
Europa,Áustria,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,1
Europa,Áustria,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,1
Europa,Áustria,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,2
Europa,Áustria,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,1
Europa,Áustria,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,1
Europa,Áustria,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,2
Europa,Áustria,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,3
Europa,Áustria,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,7
Europa,Áustria,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,2
Ásia,Bangladesh,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,1
Ásia,Bangladesh,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,2
Ásia,Bangladesh,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,1
Ásia,Bangladesh,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,1
Europa,Bélgica,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,1
Europa,Bélgica,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,3
Europa,Bélgica,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,2
Europa,Bélgica,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,3
Europa,Bélgica,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,6
Europa,Bélgica,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,2
Europa,Bélgica,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,3
Europa,Bélgica,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,1
Europa,Bélgica,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,2
Europa,Bélgica,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,3
América do Sul,Bolívia,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,2132
América do Sul,Bolívia,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,1021
América do Sul,Bolívia,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,685
América do Sul,Bolívia,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,572
América do Sul,Bolívia,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,615
América do Sul,Bolívia,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,759
América do Sul,Bolívia,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,1271
América do Sul,Bolívia,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,858
América do Sul,Bolívia,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,847
América do Sul,Bolívia,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,788
América do Sul,Bolívia,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,845
América do Sul,Bolívia,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,1828
Europa,Bulgária,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,1
América do Norte,Canadá,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,1
América do Norte,Canadá,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,1
América do Norte,Canadá,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,1
América do Norte,Canadá,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1
América do Sul,Chile,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,13
América do Sul,Chile,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,32
América do Sul,Chile,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,12
América do Sul,Chile,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,18
América do Sul,Chile,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,7
América do Sul,Chile,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,12
América do Sul,Chile,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,36
América do Sul,Chile,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,27
América do Sul,Chile,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,14
América do Sul,Chile,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,16
América do Sul,Chile,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,26
América do Sul,Chile,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,12
Ásia,China,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,2
Ásia,China,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,2
Ásia,China,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,8
Ásia,China,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,11
Ásia,China,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,3
Ásia,"China, Hong Kong",Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1
Ásia,Cingapura,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,1
Ásia,Cingapura,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,1
América do Sul,Colômbia,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,23
América do Sul,Colômbia,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,29
América do Sul,Colômbia,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,24
América do Sul,Colômbia,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,44
América do Sul,Colômbia,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,25
América do Sul,Colômbia,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,37
América do Sul,Colômbia,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,35
América do Sul,Colômbia,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,29
América do Sul,Colômbia,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,38
América do Sul,Colômbia,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,25
América do Sul,Colômbia,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,44
América do Sul,Colômbia,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,14
América Central e Caribe,Costa Rica,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,1
América Central e Caribe,Costa Rica,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,1
América Central e Caribe,Costa Rica,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,2
América Central e Caribe,Costa Rica,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,1
América Central e Caribe,Costa Rica,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,1
América Central e Caribe,Costa Rica,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,2
América Central e Caribe,Costa Rica,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,1
América Central e Caribe,Cuba,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,2
América Central e Caribe,Cuba,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,2
América Central e Caribe,Cuba,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,1
América Central e Caribe,Cuba,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,2
América Central e Caribe,Cuba,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,3
Europa,Dinamarca,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,2
Europa,Dinamarca,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,2
Europa,Dinamarca,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1
África,Egito,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,1
América Central e Caribe,El Salvador,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,1
América do Sul,Equador,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,14
América do Sul,Equador,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,12
América do Sul,Equador,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,9
América do Sul,Equador,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,31
América do Sul,Equador,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,45
América do Sul,Equador,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,6
América do Sul,Equador,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,23
América do Sul,Equador,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,11
América do Sul,Equador,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,15
América do Sul,Equador,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,8
América do Sul,Equador,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,5
América do Sul,Equador,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,12
Europa,Eslovênia,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,2
Europa,Eslovênia,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,1
Europa,Espanha,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,4
Europa,Espanha,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,10
Europa,Espanha,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,5
Europa,Espanha,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,15
Europa,Espanha,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,13
Europa,Espanha,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,7
Europa,Espanha,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,8
Europa,Espanha,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,4
Europa,Espanha,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,3
Europa,Espanha,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,1
Europa,Espanha,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,9
Europa,Espanha,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,10
América do Norte,Estados Unidos,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,5
América do Norte,Estados Unidos,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,14
América do Norte,Estados Unidos,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,4
América do Norte,Estados Unidos,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,3
América do Norte,Estados Unidos,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,3
América do Norte,Estados Unidos,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,11
América do Norte,Estados Unidos,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,6
América do Norte,Estados Unidos,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,3
América do Norte,Estados Unidos,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,5
América do Norte,Estados Unidos,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,4
América do Norte,Estados Unidos,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,3
América do Norte,Estados Unidos,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,13
Europa,Estônia,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,3
Europa,Estônia,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1
Ásia,Filipinas,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,1
Ásia,Filipinas,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,3
Europa,Finlândia,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,1
Europa,Finlândia,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,2
Europa,França,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,10
Europa,França,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,6
Europa,França,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,5
Europa,França,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,6
Europa,França,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,4
Europa,França,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,8
Europa,França,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,23
Europa,França,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,35
Europa,França,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,12
Europa,França,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,8
Europa,França,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,10
Europa,França,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,9
Europa,Grécia,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,3
Europa,Grécia,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1
América Central e Caribe,Guatemala,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,1
América Central e Caribe,Guatemala,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,1
América Central e Caribe,Guatemala,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,1
América Central e Caribe,Guatemala,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,1
América Central e Caribe,Guatemala,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,1
América do Sul,Guiana,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,1
América do Sul,Guiana,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,1
América do Sul,Guiana,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1
América Central e Caribe,Haiti,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,1
América Central e Caribe,Haiti,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,1
América Central e Caribe,Haiti,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,1
Europa,Holanda,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,2
Europa,Holanda,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,1
Europa,Holanda,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,3
Europa,Holanda,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,3
Europa,Holanda,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,7
Europa,Holanda,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,9
Europa,Holanda,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,5
Europa,Holanda,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,1
Europa,Holanda,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1
Europa,Holanda,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,1
América Central e Caribe,Honduras,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,1
América Central e Caribe,Honduras,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,1
América Central e Caribe,Honduras,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,1
Europa,Hungria,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,2
Europa,Hungria,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,1
Europa,Hungria,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,1
Ásia,Índia,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,1
Ásia,Índia,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,3
Europa,Irlanda,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,3
Europa,Irlanda,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1
Europa,Irlanda,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,4
Ásia,Israel,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,1
Ásia,Israel,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,1
Ásia,Israel,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,2
Ásia,Israel,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,2
Ásia,Israel,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,1
Ásia,Israel,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,1
Ásia,Israel,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,3
Ásia,Israel,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,2
Ásia,Israel,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,3
Ásia,Israel,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,2
Europa,Itália,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,3
Europa,Itália,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,3
Europa,Itália,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,8
Europa,Itália,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,17
Europa,Itália,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,4
Europa,Itália,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,5
Europa,Itália,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,7
Europa,Itália,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,16
Europa,Itália,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,1
Europa,Itália,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,1
Europa,Itália,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1
Europa,Itália,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,4
Ásia,Japão,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,1
Ásia,Japão,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,1
Ásia,Japão,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,2
Ásia,Japão,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,1
Ásia,Japão,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1
Europa,Lituânia,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,2
Ásia,Malásia,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,1
África,Marrocos,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,2
África,Marrocos,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1
América do Norte,México,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,7
América do Norte,México,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,3
América do Norte,México,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,6
América do Norte,México,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,1
América do Norte,México,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,2
América do Norte,México,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,2
América do Norte,México,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,13
América do Norte,México,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,3
América do Norte,México,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,5
América do Norte,México,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,4
América do Norte,México,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,4
América do Norte,México,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,5
África,Nigéria,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,1
Europa,Noruega,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,1
Oceania,Nova Zelândia,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,3
Oceania,Nova Zelândia,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,1
Oceania,Nova Zelândia,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1
Oceania,Nova Zelândia,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,2
África,Outros países da África,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,2
África,Outros países da África,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,1
África,Outros países da África,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,4
África,Outros países da África,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1
América Central e Caribe,Outros países da América Central e Caribe,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,1
América Central e Caribe,Outros países da América Central e Caribe,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,2
América Central e Caribe,Outros países da América Central e Caribe,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,1
Ásia,Outros países da Ásia,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,1
Ásia,Outros países da Ásia,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,1
Europa,Outros países da Europa,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,1
Europa,Outros países da Europa,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1
Europa,Outros países da Europa,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,1
Oceania,Outros países da Oceania,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,1
Oceania,Outros países da Oceania,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,1
Oceania,Outros países da Oceania,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,1
América Central e Caribe,Panamá,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,2
América Central e Caribe,Panamá,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,1
Ásia,Paquistão,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,1
América do Sul,Paraguai,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,1
América do Sul,Paraguai,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,3
América do Sul,Paraguai,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,1
América do Sul,Paraguai,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,1
América do Sul,Paraguai,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,1
América do Sul,Paraguai,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,3
América do Sul,Paraguai,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,3
América do Sul,Paraguai,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,8
América do Sul,Peru,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,1978
América do Sul,Peru,Acre (AC) - Brasil,Terrestre,2018,2,01/02/2018,1663
América do Sul,Peru,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,1190
América do Sul,Peru,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,1103
América do Sul,Peru,Acre (AC) - Brasil,Terrestre,2018,5,01/05/2018,1038
América do Sul,Peru,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,968
América do Sul,Peru,Acre (AC) - Brasil,Terrestre,2018,7,01/07/2018,1573
América do Sul,Peru,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,2181
América do Sul,Peru,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,1552
América do Sul,Peru,Acre (AC) - Brasil,Terrestre,2018,10,01/10/2018,1106
América do Sul,Peru,Acre (AC) - Brasil,Terrestre,2018,11,01/11/2018,1125
América do Sul,Peru,Acre (AC) - Brasil,Terrestre,2018,12,01/12/2018,1220
Europa,Polônia,Acre (AC) - Brasil,Terrestre,2018,1,01/01/2018,8
Europa,Polônia,Acre (AC) - Brasil,Terrestre,2018,3,01/03/2018,1
Europa,Polônia,Acre (AC) - Brasil,Terrestre,2018,4,01/04/2018,3
Europa,Polônia,Acre (AC) - Brasil,Terrestre,2018,6,01/06/2018,1
Europa,Polônia,Acre (AC) - Brasil,Terrestre,2018,8,01/08/2018,2
Europa,Polônia,Acre (AC) - Brasil,Terrestre,2018,9,01/09/2018,1
